,full_text,sentiment
26, Mas essas aglomerações vão ter resultar em mais casos de Covid e de uso do sistema público de saúde nos próximos dias. A questão é: essas pessoas que saíram de casa por opção vão compreender sua responsabilidade nos próximos aumento de casos??,2
27,"Covid-19: 59% acreditam que pandemia vai afetar eleições municipais, diz Ibope
",2
28,"Senador postou anúncio em redes sociais.

Confira:

#ODia
",2
29,"Queria ser rico, que não existisse Covid e queria estar num chelezinho em Campos do Jordão cm a Nathália. Saudade daquele lugar.",2
30, O que é covid pra quem está COM DEUS!!!!🤝,3
31," Um livro sobre o impacto do covid

Credo kdjdhdn",1
32," PQP!! Mas é burro hein?! Volta pra maromba perninha de frango!!
O desrespeito com as famílias de 126.000 mortes por Covid-19 não fazem diferença alguma pra essa gente não?? 😷🚩👊💥",1
33,"Tô vendo geral nas praias como se não existisse covid e lembrando que quando viajei dias atrás, fui e voltei morrendo de medo, tomando todos os cuidados e sem falar que consegui sair de casa enquanto estava lá... sim! Eu sou trouxa demais por não ter aproveitado como eu queria!",1
34,aleatório e tals qnd 2020 n tinha covid  ,2
35,não tem a menor possibilidade de eu ir p praia nem sem covid eu gosto de ver gente tumultuando imagina só agora,1
36,Odeio comprar maquiagem pela internet covid vc me paga,1
37," Da medo, não do covid, e nem da multa por andar sem máscara, + medo de ser morto por estes ""caçadores"" de humanos sem máscaras que vivem em busca duma nova presa todos os dias.😪",1
38,"precisei sair esses dias de ônibus e que bom que já temos a vacina pro covid, neto 🤩",1
39,Covid-19: Israel ultrapassa o milhar de mortos e pondera novas restrições ,2
40,Covid-19: Pelo menos 880.396 pessoas já morreram em todo o mundo ,2
41, Suspeita de covid more,1
42,Covid-19: Portugal contabiliza mais dois mortos e 315 casos de infeção ,2
43,geral na praia e fodaci covid,1
44,"""Covid-19: Praias voltam a lotar no domingo pré-feriado"" Onde que as pessoas colocam na cabeça que estamos numa pandemia do novo coronavírus vamos a praia, tá tranquilo de não pegar resultado brasileiros sei não a cada dia só passam mais vergonha  ",1
45,"Teríamos um outro governo dedicado ao combate do COVID-19 com menos da metade dos 126 mil mortos.

",2
46,Covid-19: UFRJ desenvolve teste sorológico 20 vezes mais barato  via  ,2
47,"O pior pra mim nisto tudo do Covid é saber que não posso estar com o meu avô. Ele é doente de risco, e nem sequer posso matar saudades por video-chamada porque ele não vê...",1
48,"   permitir queimar a Amazônia e o Pantanal  é o certo? Liberar geral os agrotóxicos é o certo? Não liberar o $ para a saúde nessa pandemia é o certo? Recomendar remédio sem eficácia comprovada para  o Covid-19 é o certo? 
Só para listar algumas das suas sandices!!!",1
49,Vamos a festa de anos do que se apega mais rápido que o covid ,2
50,"Manos por favor, COVID não tem uma cláusula assinada na qual ele infectará o indivíduo APENAS se na reunião houver mais de 5 pessoas
Vejo gente criticando o bar até virar do avesso e reunindo com 4 pessoas que não moram c ela.

Aglomeração é mais questão de chance de contágio Zé",1
51,"""Fofoca é peste pior que a Covid-19"", diz papa Francisco  /Foi por essas e outra que deus deu um rabicó p cada um p que cada um cuidasse do seus rabicó próprio né?Quem fala pouco erra menos...",1
52,Aqui parece que encontraram a vacina do covid por que a beira do rio está lotada de gente 🤦‍♀️🤦‍♀️,1
53," Eu cheguei num ponto que eu nem reclamo mais, eu só falo ""se pegar covid eu tô pouco me fudendo"" e vida que segue 
Porém, o nosso momento na praia vai vir pós esse inferno",1
54,"a realidade é que tudo só vai começar a dar certo em 2020 quando o mamamoo fizer um comeback

provavelmente 01 dia depois do comeback a vacina do covid fica pronta e o mundo volta a ficar em paz",2
55,"A CUFA está em todo território nacional  e em parceria com a  vem fazendo a diferença nessa pandemia. Desde o início, mobilizando e contribuindo para minimizar os danos causados pela Covid-19. As doações e arrecadações permanecem. Boa ",2
56,"Papa Francisco compara fofoca à covid-19 e pede para que fiéis ofereçam seu silêncio aos irmãos e irmãs, em vez de fofocar. ",2
57,alguém sabe me dizer se o pessoal que tá indo pra praia já descobriu a vacina pro covid?,1
58,"Meu deus, as  praias lotadas em plena pandemia.
Eita u trampolim pro covid . Cuidado pessoal com a aglomeraçao",1
59,"A  tbm se curou. Ôpa, 🤭 Desculpa. Disse q foi desmentida pelo hospital. O que leva uma pessoa a mentir a respeito de uma doença tão grave como o Covid-19? Não tem medo d brincar com coisa séria? Olha, se arrependimento matasse, nenhum de vcs estaria no Congresso. ",1
60,"Achei meus ingressos pro show do Harry 🥺

Poxa covid ",1
61,o melhor dos domingos pra mim era poder passar o dia todo for de casa pau no cu do covid,1
62,gnt apenas aceitem q o covid nunca vai ser controlado no brasil a gnt nunca vai ter bandeira branca pra sair da quarentena a vacina nao vai ser oq vai fazer isso acontecer e ainda q seja realisticamente esperam q isso aconteca apenas no 2o semestre de 2021,1
63," tenso
domingo foi pra praia
domingo pegou covid
domingo morreu",1
64,"Ficar em casa por conta do covid tá tão chato, que sair caminhar com os amigos no final da tarde e postar ""Caminhada de hj ta paga"", é um rolê e tanto.

Jovens, continuem inventando mais moda, mas usem máscara e mantenham distanciamento.",2
65," Antes de pôr o celular pra carregar...vejo nas postagens da outra rede social,muita gente na praia... parece que o COVID 19 foi erradicado do mundo já, domingo de sol vão a praia,mas o/a filho (a) não retorna as aulas se permitirem o retorno presencial 
Em fim a hipocrisia",1
66,"tá todo mundo pegando essa tal de covid, ela deve ser bem bonita mesmo",2
67,vou ter que sair do instagram de novo pra não sair dando unfollow em todo mundo que tá pouco se fudendo pra covid,1
68,"  Morre em 26 de agosto, de Covid, o piloto que salvou o país e o Presidente Sarney de um atentato terrorista :
Fernando Murilo de Lima",2
69,   O imbecil não deve ter filho. Os meus não voltam. Os professores está trabalhando em aulas online.que venha logo a vacina. Do covid e da febre aftosa para esse bando de gado,1
70, E o restante da porcentagem são os governadores e prefeitos responsáveis direto e com o apoio do STF pelas mortes de brasileiros com covid 19.,2
71," Ele quer muito GRANA para ele e a família,para o POVÃO
ele quer a morte pela COVID.",1
72,"A cura do covid já chegou né? Geral na praia, festinha rolando, acho que não vivo no mesmo mundo que essa galera.",1
73,   Em 2 semanas vem o jornalista do DF1 e pergunta onde está o governador do DF que não se pronuncia pelas mortes de COVID-19.,2
74,é na praia q tão  dando a vacina do covid???,1
75,"era pra ser um dia de paz, até que no grupo....

[6/9 16:17] Licão 🐎: Eu e Ana Paula tava com covid só pode pra tu sumir assim
[6/9 16:17] dê⛑️: Enfia ela no cu rapaz
[6/9 16:17] Licão 🐎: Nao sou incoveniente!! Tô me sentindo o cravo do docinho de coco, todo mundo me exclui",2
76, Sqn! Tipo eu nao posso tar sossegada que alguem ja quer comparar a minha mao á mao dela/ dele! Ainda bem que com o covid ninguem vai me fazer isso,2
77," Ele não estava com COVID, estava com hemorróida!",2
78,"A CUFA está em todo território nacional  e em parceria com a  vem fazendo a diferença nessa pandemia. Desde o início, mobilizando e contribuindo para minimizar os danos causados pela Covid-19. As doações e arrecadações permanecem. ",2
79,"E não, as pessoa não são solidárias, elas não se importam com as outras, elas simplesmente estão pensando no próprio rabo. 

Se você acha que fazer uma doação pra qualquer lugar te torna alguém do bom e você sai por aí espalhando essa porra de covid, você é sim um pau no cu!",1
80,"Eu de plantão no centro covid, e só pedindo a Deus pra minha escala do mês q vem ser menos intensa. Aí vejo as reportagens dos bares da cidade. Logo volto a me programar na escala. Daqui uma semana bombaremos",1
81," Acaba logo juiz, covid na área",2
82,Se é COVID-19 porque raio apareceu em 2020?,2
83, Aham...sei...morreu de covid...até quando querem enganar o povo?,1
84,"o lado bom de estar todo mundo na praia é que o hospital tá super vazio hoje, o foda vai ser quando o povo voltar, se não tiver covid vai ter virose",1
85,"Desde o início do ano, a cada vez que leio mais sobre os sintomas e consequências do Covid-19 eu só lembro de uma gripe fudida que eu tive em janeiro de 2016, acho que nunca me senti tão mal. Agora fico pensando se não foi algum vírus parecido da mesma família...",2
86,E esse povinho que descobriu que a cura do covid tá na água do mar... pq né.,1
87,"Comecei a sentir uma dor estranha a minha mãe ""pode aguentando covid tá aí, não dá para ir pro hospital não""",2
88,mano COMO q uma pessoa dessas ainda nao pegou covid????,1
89, Mentira tu nunca teve covid vagabundo tu tava mesmo era com medo das investigação filho da égua safado sem vergonha,1
90,"Mas a  está de palhaçada mesmo. Estão achando que meu dinheiro é capim. Enquanto o país padece com a pandêmia de COVID, que é um problema sério ""desinformação"", vocês gastando tempo na defesa desse inépto.",1
91,"A covid veio pra devastar minha família, ela tá machucando demais nossos corações, dessa vez é o irmão do meu pai, é meu tio, é o companheiro da minha vó, tá doendo tio, mas descansa, todos nós sabemos que você lutou demais, te amamos eternamente 😢💔 ",1
92,Que vontade de sair de carro rebaixado na madrugada com os amigos. Apenas. Covid filha da puta,1
93," Assistindo US open em casa ..
Ninguém aguenta mais falar de covid ! Um abraço",1
94,eu odeio o fato de visitarem a gente no sítio como se eles não pudessem trazer covid filhos da puta quero que morram 🥰,1
95,"A CUFA está em todo território nacional  e em parceria com a  vem fazendo a diferença nessa pandemia. Desde o início, mobilizando e contribuindo para minimizar os danos causados pela Covid-19. As doações e arrecadações permanecem. ",2
96,  Os casos de covid estão aumentando na Croácia. Rezando pra lenda não pegar 🙌🏽🙌🏽😭,1
97, lá não tem covid.....,2
98,"""pandemia comunista"", ""ditadura do covid"", ""inventaram essa pandemia p acabar com o governo do bolsonaro"" ...quando eu penso que o brasileiro não pode ficar mais burro, ele vai lá e me surpreende",1
99,"Quais são os seus planos para este domingo? 
E para o feriado de 7 de setembro? 

Nos conte se a pandemia mudou seus hábitos na pesquisa: 

Foto de Iz &amp; Phil/ Unsplash ",2
